Box	Folder	Item	Accession number	Title	Play dates	Year	Written by	Directed by	Company	Notes	Multiplay	Non-Theatrical	Era
13	153	1	dra037-s01-b013-f153-i01-p0020	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0021	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0022	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0023	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0024	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0025	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0026	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0027	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0028	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0029	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0030	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0001	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0002	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0003	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0004	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0005	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
13	153	2	dra037-s01-b013-f153-i02-p0006	The Crazy Locomotive	Dec 9 - 15	1999	"Witkiewicz, Stanislaw Ignacy"	"Dorsen, Annie"	Yale School of Drama				stan_wojewodski
